Manager;Team (fiktiv);Name laut Auktion;kicker-Name (Kaderliste);kicker-Kurzname (Schema);Verein;Position;Kaufpreis (Mio.);Gültig ab Spieltag;Gültig bis Spieltag;Status Zuordnung;Bemerkung
Andreas;Fischköppe;Backhaus;Backhaus Mio;Backhaus;Freiburg;TOR;1.5;2;;exakt;
Andreas;Fischköppe;Kristof;Kristof Nicolas;Kristof;Elversberg;TOR;0.3;2;;exakt;
Andreas;Fischköppe;Seimen;Seimen Dennis;Seimen;Stuttgart;TOR;0.4;2;;exakt;
Andreas;Fischköppe;Davies;Davies Alphonso;Davies;Bayern;ABW;1;2;;exakt;
Andreas;Fischköppe;Ginter;Ginter Matthias;Ginter;Freiburg;ABW;1.1;2;;exakt;
Andreas;Fischköppe;Hajdari;Hajdari Albian;Hajdari;Hoffenheim;ABW;0.4;2;;exakt;
Andreas;Fischköppe;Kim;Kim Min-Jae;Kim;Bayern;ABW;1.6;2;;exakt;
Andreas;Fischköppe;Stanisic;Stanisic Josip;Stanisic;Bayern;ABW;1.2;2;;exakt;
Andreas;Fischköppe;Upamecano;Upamecano Dayot;Upamecano;Bayern;ABW;2.9;2;;exakt;
Andreas;Fischköppe;Bellingham;Bellingham Jobe;Bellingham;Dortmund;MIT;0.5;2;;exakt;
Andreas;Fischköppe;Chaibi;Chaibi Fares;Chaibi;Frankfurt;MIT;0.3;2;;exakt;
Andreas;Fischköppe;Doan;Doan Ritsu;Doan;Frankfurt;MIT;0.9;2;;exakt;
Andreas;Fischköppe;E. Fernandez;Fernandez Ezequiel;E. Fernandez;Leverkusen;MIT;0.5;2;;exakt;
Andreas;Fischköppe;Kade;Kade Anton;Kade;Augsburg;MIT;0.4;2;;exakt;
Andreas;Fischköppe;Kimmich;Kimmich Joshua;Kimmich;Bayern;MIT;5.7;2;;exakt;
Andreas;Fischköppe;Mohya;Mohya Wael;Mohya;Gladbach;MIT;0.3;2;;exakt;
Andreas;Fischköppe;Seiwald;Seiwald Nicolas;Seiwald;Leipzig;MIT;0.3;2;;exakt;
Andreas;Fischköppe;Beier;Beier Maximilian;Beier;Dortmund;STU;0.3;2;;exakt;
Andreas;Fischköppe;Gregoritch;Gregoritsch Michael;Gregoritsch;Augsburg;STU;0.3;2;;exakt;
Andreas;Fischköppe;Kane;Kane Harry;Kane;Bayern;STU;10.7;2;;exakt;
Andreas;Fischköppe;Matanovic;Matanovic Igor;Matanovic;Freiburg;STU;0.4;2;;exakt;
Daniel;Käsefüße;Flekken;Flekken Mark;Flekken;Leverkusen;TOR;0.7;2;;exakt;
Daniel;Käsefüße;Zentner;Zentner Robin;Zentner;Mainz;TOR;0.3;2;;exakt;
Daniel;Käsefüße;Bensebaini;Bensebaini Ramy;Bensebaini;Dortmund;ABW;0.4;2;;exakt;
Daniel;Käsefüße;Ito;Ito Hiroki;Ito;Bayern;ABW;0.6;2;;exakt;
Daniel;Käsefüße;Lukeba;Lukeba Castello;Lukeba;Leipzig;ABW;0.5;2;;exakt;
Daniel;Käsefüße;Miguel;Miguel;Miguel;Leverkusen;ABW;0.6;2;;exakt;
Daniel;Käsefüße;Mittelstädt;Mittelstädt Maximilian;Mittelstädt;Stuttgart;ABW;0.8;2;;exakt;
Daniel;Käsefüße;Vagnoman;Vagnoman Josha;Vagnoman;Stuttgart;ABW;0.4;2;;exakt;
Daniel;Käsefüße;Baumgartner;Baumgartner Christoph;Baumgartner;Leipzig;MIT;0.8;2;;exakt;
Daniel;Käsefüße;F. Nmecha;Nmecha Felix;F. Nmecha;Dortmund;MIT;1.8;2;;exakt;
Daniel;Käsefüße;Grifo;Grifo Vincenzo;Grifo;Freiburg;MIT;0.5;2;;exakt;
Daniel;Käsefüße;Karaman;Karaman Kenan;Karaman;Schalke;MIT;0.3;2;;exakt;
Daniel;Käsefüße;Karetsas;Karetsas Konstantinos;Karetsas;Dortmund;MIT;3.9;2;;exakt;
Daniel;Käsefüße;Nebel;Nebel Paul;Nebel;Mainz;MIT;0.7;2;;exakt;
Daniel;Käsefüße;S. El Mala;El Mala Said;S. El Mala;Köln;MIT;2.3;2;;exakt;
Daniel;Käsefüße;Stiller;Stiller Angelo;Stiller;Stuttgart;MIT;1.6;2;;exakt;
Daniel;Käsefüße;Tillman;Tillman Malik;Tillman;Leverkusen;MIT;1;2;;exakt;
Daniel;Käsefüße;Wimmer;Wimmer Patrick;Wimmer;Hoffenheim;MIT;0.5;2;;exakt;
Daniel;Käsefüße;Asllani;Asllani Fisnik;Asllani;Hoffenheim;STU;1.7;2;;exakt;
Daniel;Käsefüße;Gnabry;Gnabry Serge;Gnabry;Bayern;STU;1.1;2;;exakt;
Daniel;Käsefüße;Guirassy;Guirassy Serhou;Guirassy;Dortmund;STU;6.4;2;;exakt;
Daniel;Käsefüße;Kleindienst;Kleindienst Tim;Kleindienst;Gladbach;STU;0.9;2;;exakt;
Daniel;Käsefüße;Pejcinovic;Pejcinovic Dzenan;Pejcinovic;Stuttgart;STU;1.8;2;;exakt;
Daniel;Käsefüße;Romulo;Romulo;Romulo;Leipzig;STU;0.3;2;;exakt;
Martin;Hansa Fürze;Blaswich;Blaswich Janis;Blaswich;Leverkusen;TOR;0.4;2;;exakt;
Martin;Hansa Fürze;Kobel;Kobel Gregor;Kobel;Dortmund;TOR;2.8;2;;exakt;
Martin;Hansa Fürze;Diks;Diks Kevin;Diks;Gladbach;ABW;0.8333;2;;exakt;
Martin;Hansa Fürze;Jeltsch;Jeltsch Finn;Jeltsch;Stuttgart;ABW;0.3;2;;exakt;
Martin;Hansa Fürze;Lienhart;Lienhart Philipp;Lienhart;Freiburg;ABW;0.6;2;;exakt;
Martin;Hansa Fürze;Simpson-Pusey;Simpson-Pusey Jahmai;Simpson-Pusey;Köln;ABW;0.8333;2;;exakt;
Martin;Hansa Fürze;Amiri;Amiri Nadiem;Amiri;Mainz;MIT;2.9;2;;exakt;
Martin;Hansa Fürze;Burger;Burger Wouter;Burger;Hoffenheim;MIT;1;2;;exakt;
Martin;Hansa Fürze;Grönbaek;Grönbaek Albert;Grönbaek;HSV;MIT;0.3;2;;exakt;
Martin;Hansa Fürze;Karl;Karl Lennart;Karl;Bayern;MIT;2.8;2;;exakt;
Martin;Hansa Fürze;Leweling;Leweling Jamie;Leweling;Stuttgart;MIT;1.8;2;;exakt;
Martin;Hansa Fürze;Onyeka;Onyeka Francis;Onyeka;Elversberg;MIT;0.3;2;;exakt;
Martin;Hansa Fürze;Reitz;Reitz Rocco;Reitz;Leipzig;MIT;0.3;2;;exakt;
Martin;Hansa Fürze;Latte Lath;Latte Lath Emmanuel;Latte Lath;Union;STU;0.8333;2;;exakt;
Martin;Hansa Fürze;Lemperle;Lemperle Tim;Lemperle;Hoffenheim;STU;0.4;2;;exakt;
Martin;Hansa Fürze;Nkunku;Nkunku Christopher;Nkunku;Leipzig;STU;3.9;2;;exakt;
Martin;Hansa Fürze;Olise;Olise Michael;Olise;Bayern;STU;9.5;2;;exakt;
Sebastian;Great Licors;Baumann;Baumann Oliver;Baumann;Hoffenheim;TOR;2;2;;exakt;
Sebastian;Great Licors;Neuer;Neuer Manuel;Neuer;Bayern;TOR;1.9;2;;exakt;
Sebastian;Great Licors;Urbig;Urbig Jonas;Urbig;Bayern;TOR;2;2;;exakt;
Sebastian;Great Licors;Gadou;Gadou Joane;Gadou;Dortmund;ABW;1.3;2;;exakt;
Sebastian;Great Licors;Laimer;Laimer Konrad;Laimer;Bayern;ABW;2;2;;exakt;
Sebastian;Great Licors;Raum;Raum David;Raum;Leipzig;ABW;1.9;2;;exakt;
Sebastian;Great Licors;Ryerson;Ryerson Julian;Ryerson;Dortmund;ABW;2;2;;exakt;
Sebastian;Great Licors;Tapsoba;Tapsoba Edmond;Tapsoba;Leverkusen;ABW;1.5;2;;exakt;
Sebastian;Great Licors;Aleix Garcia;Aleix Garcia;Aleix Garcia;Leverkusen;MIT;2;2;;exakt;
Sebastian;Great Licors;Campbell;Campbell Cole;Campbell;Elversberg;MIT;0.3;2;;exakt;
Sebastian;Great Licors;El Khannouss;El Khannouss Bilal;El Khannouss;Stuttgart;MIT;0.5;2;;exakt;
Sebastian;Great Licors;Gruda;Gruda Brajan;Gruda;Leipzig;MIT;1;2;;exakt;
Sebastian;Great Licors;Maza;Maza Ibrahim;Maza;Leverkusen;MIT;2.5;2;;exakt;
Sebastian;Great Licors;Pavlovic;Pavlovic Aleksandar;Pavlovic;Bayern;MIT;1.2;2;;exakt;
Sebastian;Great Licors;Uzun;Uzun Can;Uzun;Frankfurt;MIT;2.5;2;;exakt;
Sebastian;Great Licors;Burkardt;Burkardt Jonathan;Burkardt;Frankfurt;STU;3;2;;exakt;
Sebastian;Great Licors;Demirovic;Demirovic Ermedin;Demirovic;Stuttgart;STU;0.5;2;;exakt;
Sebastian;Great Licors;Diaby;Diaby Moussa;Diaby;Leverkusen;STU;0.9;2;;exakt;
Sebastian;Great Licors;Ilic;Ilic Andrej;Ilic;Union;STU;0.4;2;;exakt;
Sebastian;Great Licors;Nusa;Nusa Antonio;Nusa;Leipzig;STU;1.6;2;;exakt;
Thomas;Hallodries;Atubolu;Atubolu Noah;Atubolu;Frankfurt;TOR;1.6;2;;exakt;
Thomas;Hallodries;Kaua Santos;Kaua Santos;Kaua Santos;Frankfurt;TOR;0.3;2;;exakt;
Thomas;Hallodries;Anton;Anton Waldemar;Anton;Dortmund;ABW;1.8;2;;exakt;
Thomas;Hallodries;Chabot;Chabot Jeff;Chabot;Stuttgart;ABW;1;2;;exakt;
Thomas;Hallodries;Coufal;Coufal Vladimir;Coufal;Hoffenheim;ABW;1;2;;exakt;
Thomas;Hallodries;Medina;Medina Facundo;Medina;Leverkusen;ABW;0.5;2;;exakt;
Thomas;Hallodries;Orban;Orban Willi;Orban;Leipzig;ABW;1.2;2;;exakt;
Thomas;Hallodries;Quansah;Quansah Jarell;Quansah;Leverkusen;ABW;1.2;2;;exakt;
Thomas;Hallodries;R. Koch;Koch Robin;R. Koch;Frankfurt;ABW;0.3;2;;exakt;
Thomas;Hallodries;Avdullahu;Avdullahu Leon;Avdullahu;Hoffenheim;MIT;0.3;2;;exakt;
Thomas;Hallodries;Banzuzi;Banzuzi Ezechiel;Banzuzi;Leipzig;MIT;0.3;2;;exakt;
Thomas;Hallodries;Führich;Führich Chris;Führich;Stuttgart;MIT;2.3;2;;exakt;
Thomas;Hallodries;Kai. Sano;Sano Kaishu;Kai. Sano;Mainz;MIT;0.5;2;;exakt;
Thomas;Hallodries;Khedira;Khedira Rani;Khedira;Union;MIT;0.3;2;;exakt;
Thomas;Hallodries;Kramaric;Kramaric Andrej;Kramaric;Hoffenheim;MIT;2;2;;exakt;
Thomas;Hallodries;M. Eggestein;Eggestein Maximilian;M. Eggestein;Freiburg;MIT;0.5;2;;exakt;
Thomas;Hallodries;Moore;Moore Mikey;Moore;Köln;MIT;0.3;2;;exakt;
Thomas;Hallodries;Musiala;Musiala Jamal;Musiala;Bayern;MIT;5;2;;exakt;
Thomas;Hallodries;Petkov;Petkov Lukas;Petkov;Elversberg;MIT;0.3;2;;exakt;
Thomas;Hallodries;Prömel;Prömel Grischa;Prömel;Stuttgart;MIT;1.5;2;;exakt;
Thomas;Hallodries;Ebnoutalib;Ebnoutalib Younes;Ebnoutalib;Frankfurt;STU;0.9;2;;exakt;
Thomas;Hallodries;Hlozek;Hlozek Adam;Hlozek;Hoffenheim;STU;0.3;2;;exakt;
Thomas;Hallodries;Schick;Schick Patrik;Schick;Leverkusen;STU;3.7;2;;exakt;
Thomas;Hallodries;Undav;Undav Deniz;Undav;Stuttgart;STU;3.9;2;;exakt;
Wolfgang;Vickings;Nyland;Nyland Örjan;Nyland;Leipzig;TOR;0.3;2;;exakt;
Wolfgang;Vickings;Vandevoordt;Vandevoordt Maarten;Vandevoordt;Leipzig;TOR;1.2;2;;exakt;
Wolfgang;Vickings;Baku;Baku Ridle;Baku;Leipzig;ABW;0.9;2;;exakt;
Wolfgang;Vickings;Brown;Brown Nathaniel;Brown;Bayern;ABW;1.9;2;;exakt;
Wolfgang;Vickings;Kabak;Kabak Ozan;Kabak;Hoffenheim;ABW;0.3;2;;exakt;
Wolfgang;Vickings;Schlotterbeck;Schlotterbeck Nico;Schlotterbeck;Dortmund;ABW;1.3;2;;exakt;
Wolfgang;Vickings;Svensson;Svensson Daniel;Svensson;Dortmund;ABW;0.9;2;;exakt;
Wolfgang;Vickings;Tah;Tah Jonathan;Tah;Bayern;ABW;3.6;2;;exakt;
Wolfgang;Vickings;Beste;Beste Niklas;Beste;Freiburg;MIT;0.9;2;;exakt;
Wolfgang;Vickings;Eichhorn;Eichhorn Kennet;Eichhorn;Leverkusen;MIT;0.3;2;;exakt;
Wolfgang;Vickings;El Aynaoui;El Aynaoui Neil;El Aynaoui;Leipzig;MIT;0.6;2;;exakt;
Wolfgang;Vickings;Fabio Vieira;Fabio Vieira;Fabio Vieira;HSV;MIT;0.9;2;;exakt;
Wolfgang;Vickings;Honorat;Honorat Franck;Honorat;Gladbach;MIT;0.5;2;;exakt;
Wolfgang;Vickings;Konstantelias;Konstantelias Giannis;Konstantelias;Dortmund;MIT;0.4;2;;exakt;
Wolfgang;Vickings;Lee;Lee Jae-Sung;Lee;Mainz;MIT;0.3;2;;exakt;
Wolfgang;Vickings;Nwaneri;Nwaneri Ethan;Nwaneri;Dortmund;MIT;0.4;2;;exakt;
Wolfgang;Vickings;Suzuki;Suzuki Yuito;Suzuki;Freiburg;MIT;0.9;2;;exakt;
Wolfgang;Vickings;Veerman;Veerman Joey;Veerman;Dortmund;MIT;2.4;2;;exakt;
Wolfgang;Vickings;Füllkrug;Füllkrug Niclas;Füllkrug;Bremen;STU;1.5;2;;exakt;
